Team Name,Execution Planner Name,Goal Name,Total journey Executed,Total journey Passed,Total journey Failed,Passed Journey Names,Failed Journey Names
Dynamic Yard Fusion (DYF),DYP QAT Regression,Tasks (Filters),24,2,22,"C29211900 - Apply filters for Destination column on spot task table, C29211902 - Apply filters for Status column on spot task table, C29211907 - Apply filters for Refrigeration Status column on spot task table, C29211909 - Apply filters for Building Code column on spot task table, C29211910 - Apply filters for Broker Carrier column on spot task table, C29211912 - Apply filters for Active Task column on spot task table , C29211894 -  Apply quick filters, C29211897 - Apply filters for Trailer Condition column on spot task table","C29211899 - Apply filters for Trailer State column on spot task table, C29211901 - Apply filters for Current Location column on spot task table, C29211903 - Apply filters for Site Owner column on spot task table , C29211906 - Apply filters for Detention Fee column on spot task table, C29211908 - Apply filters for Fuel Level column on spot task table , C29211911 - Apply filters for Direction column on spot task table , C29211913 - Apply filters for CTPAT Inspection column on spot task table, C29211914 -  Apply filters for CTPAT Status column on spot task table , C29211893 - Validate ability to check / uncheck the additional attributes columns and save, after rename the additional attributes column it should not get uncheck in spot task table settings., C29211891 - Search trailers in spot task table, C29211915 - Sort the move spot task table based on columns, C29211916 - Apply paginations on spot task table, C29211905 - Apply filters for Appointment Type column on spot task table, C29211898 - Apply filters for Trailer Usage column on spot task table, C29211895 - Apply filters for Trailer column on spot task table, C29211896 - Apply filters for Trailer Type column on spot task table"
Dynamic Yard Fusion (DYF),DYP QAT Regression,Tasks (Move Spot),15,3,12,"C29211919 - View available switchers while creating a move spot task, C29211921 - Cancel the created move spot task, C29211924 - View the move request history in the created move spot task","C26697446  - Move Spot from Unassigned to Door location, C26697445 - Move Spot from Unassigned to Unassigned location, C26789076  - Move Spot from Yard to Door location, C26789075  - Move Spot from Yard to Unassigned location, C26789077  - Move Spot from Yard to Yard location, C26697447 - Move Spot from Unassigned to Yard location, C29211917 - Update the trailer details while creating a move spot task, C29211918 - Assign a switcher while creating a move spot task, C29211920 - Complete the created move spot task, C29211922 - Update the created spot task and assign a switcher for created spot task, C29211925 - Create a move spot task for the trailer which is already in queue, C29211926 - Create a move spot task for refrigerated trailer"
Dynamic Yard Fusion (DYF),DYP QAT Regression,Tasks (PreCool),7,0,7,C29211954 - View the move request history in the created pre-cool task,"C29211947 - Create a Pre-Cool task for the trailer, C29211950 - Complete the created Pre-Cool task, C29211951 - Cancel the created Pre-Cool task, C29211952 - Update the created Pre-Cool task and assign a switcher in a created pre-cool task, C29211953 - View the available switchers in the created pre-cool task, C29211949 - View available switchers while creating a Pre-Cool task"
Dynamic Yard Fusion (DYF),DYP QAT Regression,Tasks (Refuel),8,1,7,"C29211959 - Cancel the created Refuel task, C29211962 - View the move request history in the created refuel task, C29211955 - Create a Refuel task for the trailer","C29211957 - View available switchers while creating a Refuel task, C29211956 - Assign spotter while creating Refuel task, C29211958 - Complete the created Refuel task, C29211960 - Update the created Refuel task and assign a switcher in a created refuel task, C29211961 - View the available switchers in the created refuel task and pagination flow"
Dynamic Yard Fusion (DYF),DYP QAT Regression,Ad-hoc Shipments (Check-in),18,0,18,,"Check-in a trailer with inbound delivery with normal trailer type, Check-in a trailer with inbound delivery with reefer trailer type, Check-in a trailer with inbound delivery with normal trailer type with intermodal info, Check-in a trailer with inbound and outbound delivery with normal trailer, Create the gate pass information with driver details with outbound delivery with normal container, Check-in a trailer with inbound delivery with normal trailer type, Check-in a trailer with outbound delivery with reefer container, Check-in a trailer with inbound and outbound delivery with normal container, Check-in a trailer with inbound delivery with normal container with intermodal info, Check-in a trailer with inbound delivery with reefer trailer type, Check-in a trailer with outbound delivery with normal trailer type, Check-in a trailer with outbound delivery with reefer trailer type, Check-in a trailer with inbound and outbound delivery with normal trailer, Check-in a trailer with outbound delivery with normal container, Check-in a trailer with inbound and outbound delivery with reefer container, Check-in a trailer with inbound delivery with normal container, Check-in a trailer with inbound delivery with reefer container, Create the gate pass information with driver details with outbound delivery with normal container"
Dynamic Yard Fusion (DYF),DYP QAT Regression,Check-in,34,1,33,"Ability to search shipments in Search and add trailer/shipments table, C26479777 - Turn Away the trailer with Reefer container","C26479608 - Check-in a trailer with outbound delivery with reefer container, C26479609 - Check-in a trailer with inbound and outbound delivery with normal container, C26479610 - Check-in a trailer with inbound and outbound delivery with reefer container, C26479611 - Check-in a trailer without delivery, C26479612 - Check-in a trailer with load status Empty, C26479613 - Check-in a trailer with inbound delivery with normal container, C26479614 - Check-in a trailer with inbound delivery with reefer container, C26479616 - Check-in a trailer without delivery, C26479617 - Check-in a load status with Empty, C26479772 - Create the gate pass information with driver details, C26523621 - Create the gate pass information with driver details with outbound delivery with normal container, C26523639 - Create the gate pass information with driver details with outbound delivery with normal container, C26479774 - Create the gate pass information with driver details, C26479776 - Turn away the trailer with normal container, C26479107 - Check-in a trailer with inbound delivery with normal trailer type with intermodal info, C26479615 - Check-in a trailer with inbound delivery with normal container with intermodal info, Check-in while searching PO number in outbound assignment , C26479111 - Check-in a trailer with inbound and outbound delivery with normal trailer, C29201333  Validate gate pass for Drop and Hook with different trailer then defined at check in, Check-in a LIVE trailer with Audit notes with other required fields, Check-in a INBOUND ONLY trailer with Audit notes with other required fields, Check-in a trailer after changes in section customization, C26479089 - Check-in a trailer with inbound delivery with normal trailer type, C26479106 - Check-in a trailer with inbound delivery with reefer trailer type, C26479108 - Check-in a trailer with outbound delivery with normal trailer type, C26479109 - Check-in a trailer with outbound delivery with reefer trailer type, C26479110 - Check-in a trailer with inbound and outbound delivery with normal trailer, C26479111 - Check-in a trailer with inbound and outbound delivery with normal trailer, C26479112 - Check-in a trailer without delivery, C26479114 - Check-in a trailer with Empty Load Status, C26479601 - Check-in a trailer with inbound delivery with normal trailer type, C26478305 - Check-in a trailer with inbound delivery with reefer trailer type, C26479607 - Check-in a trailer with outbound delivery with normal container"
Dynamic Yard Fusion (DYF),DYP QAT Regression,Docks (Spot task filters),25,1,24,"C29210393, C29210394 - Validate searching trailers in spot task table, C29210399 - Trailer Usage column filter, C29210398 - Trailer Type column filter, C29210397 - Trailer name column filter, C29210408 - Detention Fee column filter, C29210418 - Paginations on spot task table, C29210395 - Table settings custom attribute - spot task table, Validate ability to perform actions on Door card, Destination","C29210412 - Borker Carrier column filter, C29210405 - Site Owner column filter, C29210400 - Trailer Condition column filter, C29210404 - Status column filter, C29210401 - Trailer state column filter, C29210407 - Appointment Type column filter, C29210413 - Direction column filter, C29210414 - Active Task column filter, C29210415 - CTPAT Inspection column filter, C29210416 - CTPAT status column filter, C29210409 - Refrigeration Status column filter, C29210410 - Fuel level column filter, C29210411 - Building code column filter, C29210403 - Current location column filter, C29210417 - Sort columns on spot task table, Add tariler to Queue, C29210404 - Quick filter column filter, C29210406 - Preferred Locations column filter"
Dynamic Yard Fusion (DYF),DYP QAT Regression (Switchers),Tasks (Switchers),11,7,4,"C29211975 - Round robin - Auto assignement should work properly when setting is enabled, C29211969 - Add task to switcher queue, re-order the priority of the tasks and remove task from queue, C29211972 - View switcher history from switcher card, C29211965 - Drag and drop the move task and assign to switcher, C29211966 - Cancel the task from switcher card view, C29211967 - Complete the task from switcher card view, C29211890 - View switchers in task page, C29211968 - View the switcher details from switcher card","C29211976 - Proximity based - Auto assignement should work properly when setting is enabled, 	C29211963 - Filter the move tasks table, C29211964 - Sort the move tasks table"
Online Appointment Scheduling (OAS),QAT Regression - MLA,Shipperportal(ReasonCode Off) - MLA,17,1,16,Verifying Creating MLA on Unscheduled Appts Appointments - Global Search,"Delete SLA (Standalone Appt) - Global Search (Load numbers, Reason code Off), Cancel MLA - Global Search (Poso numbers, Reason code Off), Reschedule MLA - Global Search (Poso numbers, Reason code Off), Delete MLA - Global Search (Load numbers, Reason code Off), Reschedule MLA - Global Search (Load numbers, Reason code Off), Cancel MLA - Global Search (Load numbers, Reason code Off), Delete MLA - Global Search (Poso numbers, Reason code Off), Cancel SLA - Global Search (Load numbers, Reason code Off), Cancel SLA (Standalone Appt) - Global Search (Load numbers, Reason code Off), Cancel SLA - Global Search (Poso numbers, Reason code Off), Cancel SLA (Standalone Appt) - Global Search (Poso numbers, Reason code Off), Reschedule SLA - Global Search (Load numbers, Reason code Off), Reschedule SLA (Standalone Appt) - Global Search (Load numbers, Reason code Off), Delete SLA - Global Search (Load numbers, Reason code Off), Reschedule SLA - Global Search (Poso numbers, Reason code Off), Reschedule SLA (Standalone Appt) - Global Search (Poso numbers, Reason code Off)"
Online Appointment Scheduling (OAS),QAT Regression - MLA,Shipperportal(ReasonCode On) - MLA,11,6,5,"Cancel SLA (Standalone Appt) - Global Search (Load numbers, Reason code On), Reschedule SLA - Global Search (Load numbers, Reason code On), Reschedule SLA (Standalone Appt) - Global Search (Load numbers, Reason code On), MLA manual check-in and check-out (NON - EU), Try Schedule MLA with different and same calendar,carrier and with carrier without carrier, Cancel SLA  - Global Search (Load numbers, Reason code On)","Cancel MLA - Global Search (Load numbers, Reason code On), Reschedule MLA - Global Search (Load numbers, Reason code On), Verify MLA OFF and ON popup, Remove SLA - Global Search (Load Number), Add Appointment to MLA"
Online Appointment Scheduling (OAS),QAT Regression - MLA,Carrierportal(ReasonCode Off) - MLA,6,1,5,"Reschedule MLA - Global Search (Load numbers, Reason code Off), Cancel SLA - Global Search (Load numbers, Reason code Off)","Reschedule SLA - Global Search (Load numbers, Reason code Off), Cancel MLA - Global Search (Load numbers, Reason code Off), Reschedule SLA (Standalone Appt) - Global Search (Load numbers, Reason code Off), Cancel SLA (Standalone Appt) - Global Search (Load numbers, Reason code Off)"
Online Appointment Scheduling (OAS),QAT Regression - MLA,Carrierportal(ReasonCode On) - MLA,6,1,5,"Reschedule MLA - Global Search (Load numbers, Reason code On), Reschedule SLA - Global Search (Load numbers, Reason code On)","Cancel SLA - Global Search (Load numbers, Reason code On), Reschedule SLA (Standalone Appt) - Global Search (Load numbers, Reason code On), Cancel SLA (Standalone Appt) - Global Search (Load numbers, Reason code On), Cancel MLA - Global Search (Load numbers, Reason code On)"
Online Appointment Scheduling (OAS),Qat Regression - Part 1,Sanity,5,4,1,"Sanity check for stadning appointments, sanity check CBC,ADMIN,NETWORKS pages loaded correctly, Create Appointments (For post release check) - It will Automatically trigered At every night, Check Appointments are present in AM created before release, Sanity Check for Trac and Non trac-load",Sanity check for general appointments
Online Appointment Scheduling (OAS),Qat Regression - Part 1,"Appointment Section (Global,Load list,List View,Calendar View)",10,6,4,"Drag and drop of Appointments from Load list : C264187, user can schedule appointment with custom Carrier name (Schedule Popup in Global Search) - C16239713, C16239714, List view - C262906, C262907, C262909, C16544758, To verify the calendar(s) are shown based on the selected facility and Hover - C264192, C16546852, C26065138, custom-configured pallet quantity fields id displayed in the Appt card - C263827, C262910, C262906, To verify appointments can be filtered for a particular date & carrier filter - C262913, C260217, C260007, List view - Filters (C262905, C264032, C262908), ""Show only for selected date"" ON & OFF feature in Load list - New behavior","Approve , Request from Load list, Global Search : C264129, Appt type and shipping type combination is shown based on CBC - C260008, ""Show only for selected date"" feature in Load list (Old behaviour): C16544702"
Online Appointment Scheduling (OAS),Qat Regression - Part 1,Login and Logout,2,1,1,"Login,logout & signoff - C264089","To verify the subscribe/unsubscribe users is working as expected -  C12603547, C22757398"
Online Appointment Scheduling (OAS),Qat Regression - Part 1,Appointments,7,5,2,"Required Field Validation in General Appointment : C7556735, Showing appointments in Reserve slots in General Appointment : C19426119 , C19426120, Different combination of load creation successful in Global Search : C264097, Creating Appointment With carrier name and scac, custom carrier name : C16239711, C16239712, Showing reserved slots while Creating Appointments in General Appointment :  C19426119 , C19426120","Required Field Validation and Creation of simple appointment without custom fields : ç, Creating Appointment With customer name, custom customer name : C16239711"
Online Appointment Scheduling (OAS),Qat Regression - Part 1,Notifications,7,0,7,,"Confirmed,Rescheduled,Calceled Appointment Notification  (PosoNo), Confirmed,Rescheduled,Calceled Appointment Notification (Calendar - 1 LoadNo), Confirmed,Rescheduled,Calceled Appointment Notification (Calendar - 2 LoadNo), soft deletion, Requested Appointment (AutoApproval - OFF LoadNo), Requested Appointment (AutoApproval - ON LoadNo), Requested Appointment (AutoApproval - OFF PosoNo)"
Online Appointment Scheduling (OAS),Qat Regression - Part 1,Carrier Portal (Appointment Manager) - Part 2,9,4,5,"C263774,C263775,C263776-To verify the first time carrier portal user is shown a popup, load indicators, Delete loads : C19246960, Dispatch details - Integration cases : C16544700, C16553582, Consective Slot, Document Add/Delete","Help support : , All types of appointments - Auto Approval OFF -  C264308, C264311, C264305, All types of appointments - Auto Approval ON - C264308, C264311, C264305, User friendly with pdf , user friendly, To verify the unschedluedAppt with same scac shown upfront - C26480236, C19245769 - To verify the EU terminology changes in carrier portal"
Online Appointment Scheduling (OAS),Qat Regression - Part 1,Carrier Portal (Appointment Manager) - Part 1,32,23,9,"planned date flexibility - No restrictions, planned date flexibility - Strict to pdf, Booking carrier : C16245312 , C16245313 , C16245315 , Lock in period : C16548524, CPU loads :  C16544696, C16544697 , C16553199 , C264311, Calendar changes on Selected Fields, Unsupported Appointment : C264545, Smart Search , Multiple load Search : C19245479, C23928431 , C265132 , C260216, C264274, Unscheduled Load behaviour for no carrier and no scac : C16548593 , authorized/unauthorized carriers - verified and unverified company : C19251474, C19251475, Restrict Carriers From Canceling The Appointment : C26063364 , C264270, Missed Appointments, Delete Appointments : C19246960, Reason code, View all reference number tool tip : C16544716, C16242965, load expiry - depending on Planned Date : C21913289, Notes , Removal of Reference Numbers , Typos in View appointment screen : C16544854,, planned date flexibility - Custom days, Reserve slots - Reserve and Available slots are untouched on respective selected slots :  C16544691, C16544693, C16544692, allow request when calendar is full, Custom field Access configurations :  C16553594 , C19245772, C19245773 , C19245774, Unscheduled Load behaviour for Non CPU loads : C16553196, Calendar capacity : C26051112, Requesting when no Free Slots available : C16544671, Non business days are grey out in date picker, Edit appointment screen , View appointment screen , Schedule appointment screen - C264304, C264307, Reserve slots - shown only to specified user : C16544694, language translation : C16544855, Dispatch details : C16544700, C16553582, Holidays are grey out in date picker and holiday for Strict PDF","Filters : C264269, C264268, Dynamic durations :  C26066396, C19245258, C17330538, Create Appointment Screen : C16544855, C264267 , C262372 , C263900 , C264302, C264544, Sign in , sign out , facility search , fk trade mark , facility sort : C264268"
Online Appointment Scheduling (OAS),Qat Regression - Part 1,Facility Admin,9,6,3,"Roles - Create, Update, Search, Delete (Guest role can't be edited), Module Permissions - based on facility switch (multi facility user), Verify user with view only option role can able to checkin/undocheckin and checkout/undo checkout of appointments, Verifying roles change of facility settings, Verify only facility users are listed in the admin panel users list, To verify Manage Blocked/Reserved slots or Add new slots, To verify multiple users addition supports only for valid users, Facility Dropdown List validation","Module Permissions - based on Role switch & Role update (view,edit), To verify multiple users and roles are added"
Online Appointment Scheduling (OAS),Qat Regression - Part 1,Shipper Portal Features Part-1,30,24,6,"Add all custom fields - C12603562, C12617081, Delete Multi Loads, Delete Appointments, Smart Search , Multi Load Search, Load indicators, Create and Delete Calendar - C12603564, C12603565, Pallet Count and Pallet Weight notify message - C19246441, Contact Information - C26064555, View Reference Numbers - C19247573, C19247574, C19247670, Verify check-in and check-out time is editable - C20109746, load view format for EU terminology - C23182957, Verify 'Reschedule Appointment' of missed appointments - ON C16544528, To verify if product,material,carrier are added correctly -C12603557, C12603560, C12603558, C16553586, To verify if Location Id, Load Mode are added correctly - C16548526, C12603563, To verify shipping types,Appointment Types is added correctly - C12603555, C12603556, To verify the settings is loaded based on the selected facility - C264146, Verify 'Reschedule Appointment' of missed appointments - OFF C16544528, To verify “Default Slot Duration” and “Max.Number of Slots” - C264144, C264145, To verify if customer,supplier,Tailer Type are added correctly - C12603561, C12603559, C16548526, View only user can update private notes - C26063808, 24 hrs Format check, Verify fk-trade mark in Shipper portal, Merge Calendar, Bulk upload, Document Added/Delete , appointment cancellation don't affect facility timings & Copy paste ponumber- C19246744, C19248821","Create and Delete Holiday- C10336680, update cbc setting - C26480322, To verify the applicability of the calendar setting - ""Email Alerts?"", To verify the facility name change feature - C16245231, Facilty creation, Sort, Search - C19247113, C19247657, C19541451, C23929111, C23929112, custom slot add/delete- C16549060, C12684263, C264193, C260006"
Online Appointment Scheduling (OAS),Qat Regression - Part 1,Shipper Portal (Calendar and CBC Features) - Part 1,17,14,3,"Calendar capacity in Simple appointment screen (Configured values), Calendar capacity in General appointment screen (Configured values), Calendar capacity in General appointment screen (Unconfigured values), Calendar capacity for pallet range , pallet weight overlapping, Dynamic durations in Simple appointment screen, Dynamic durations in General appointment screen, Dynamic durations in Reschedule appointment screen , Schedule pop up, Manual Check-in and Check-out, Reason code, Addition / Deletion of Reason code, To verify orphan appointments & schedule appt via global search  - C16544774  & C16544757, Auto - Cancellation Of Appointments Due To Change In Planned Date, Restrict Cancelling The Appointment Due To Carrier Change, Load expiry Tracable and Non-Tracable load, Load expiry","Calendar capacity in Drag and drop , Accepting Request , Reschedule to same , different day, Checkin - checkout from TRAC"
Online Appointment Scheduling (OAS),Qat Regression - Part 1,Live Dashboard,12,12,0,"Create Appointment Part - 1, Unscheduled Appointments Checking, Requested Appointments Checking , Confirmed appointment Outside planned date Checking, Confirmed Appointment Checking  (part - 1 Present Date) , Creating Appointments Part - 2  (Execute After Part -1), Unscheduled Appointment With no Planned date Checking, Confirmed Appointment Checking (Part -2 present,past,future)  , Check Count of All Slot Status, Check Appointment Count, Check appoinments with carrier filter(present), check appointments with carrier filter present,past,future(Part -1), check appointments with carrier filter present,past,future(Part -2) confirmed Appt only, Detailed Slot Preview, To verify that with document filter is working or not - C26480194",
Online Appointment Scheduling (OAS),Qat Regression - Part 2,Reserve slot,5,4,1,"C16544672 - Blocking/unblocking of reserve slot (single, multiple - non recurring) , C16544673 - Blocking/unblocking of reserve slot (single, multiple - recurring - daily - with until) , C16544681 - Blocking and Unblocking of Reserved Slots (single, multiple - recurring - daily - without until) , C16544682 - Blocking and Unblocking of Reserved Slots (single, multiple - recurring - weekly - without until) ","C16544680 - Blocking/unblocking of reserve slot(single, multiple - recurring - weekly - with until)"
Online Appointment Scheduling (OAS),Qat Regression - Part 2,Standing appointment creation,5,5,0,"C5112429, C264106 , C264107, C264104, C264105 , C16245298 ( standing appointment creation), C16546851, C23413016",
Online Appointment Scheduling (OAS),Qat Regression - Part 2,Standing Appointment Updation ,5,4,1,"C264133 - To verify recurring standing appt can be unblocked , C264132 - To verify non-recurring standing appt can be unblocked , C264134 - To verify recurring standing appt can be unblocked for a future date , C12681175 - To verify the standing appointment created by one user are unblock-able by other shipper users successfully ",C264130 -To verify standing appointment can be rescheduled
Online Appointment Scheduling (OAS),Qat Regression - Part 2,trac to am sync,12,4,8,"C263762, Comments Sync from Trac, C12682994,C9499065, C263941,C12682995-PalletCount and PalletWeight in Float & sync, C26481697 - Verify Pickup/Destination AppointmentTime in edit view","C263764, C263764, C263764 , C263764, C263765, C263765, C26064551, C26064550 - seal Number create & Update, C19251588,C19251589,C19251590,C19251591,C19251592,C19251593 - Load Po/So Number Create & Update for Trac & non-Trac loads"
Online Appointment Scheduling (OAS),Qat Regression - Part 2,Appointment Audit Trail,7,2,5,"C263949 , C263950, C263952, C5082986, C263955 , C263957","C263954, C263951 , C26296275, C26480179,C26480180 - Audit Trail for block & reserved slot"
Online Appointment Scheduling (OAS),Qat Regression - Part 2,eta indicator,3,0,3,,"C262540, C21105134, C262536 , C16553186"
Online Appointment Scheduling (OAS),Qat Regression - Part 2,Facility Networks,7,4,3,"C264190, C260126, C262911, C262914, C263857","C264189, C264191, C263858, C262389 , C262912, C262914 , C16245319, C16544715"
Online Appointment Scheduling (OAS),Qat Regression - Part 2,Multi select unblocking,6,6,0,"C16544675- Check whether multi select unblocking of non-recurring appointments, C16544676 - Check whether multi select unblocking of recurring (daily - with end date) appointments , C16544677 - Check whether multi select unblocking of recurring (weekly - with end date) appointments , C16544678 - Check whether multi select unblocking of recurring (daily - without end date) appointments , C16544679 - Check whether multi select unblocking of recurring (weekly - without end date) appointments , C16548263 - Check whether multi select unblocking of recurring all day appointment(daily - with end date) ",
AIR (AIR),Night Air run,Air Booking Service cases (Air),12,11,1,"C245457 Verify the callbacks are re-triggered on updating the ASN, C259387 Verify the callbacks are triggered when enrichment happens first and load is created later, 259385 Verify the callbacks are triggered on getting milestones from carriers, Positive cases journney, C22855858 Load Creation And then enrichment, Enrichment And then load creation, Detecting Load Enricment and also should accept them after load deletion, Enrich & Process Events, C258934 Verify the single enrichment, load creation and milestone updates flow works as expected, C258935 Verify load creation, milestone updates, and enrichment flow works as expected, Verify ETA Callbacks for Zebra case, Verify Ceva Load Creation",
